id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libsdl-mixer1.2,libsdl-mixer1.2,libsdl-mixer1.2,"Mixer library for Simple DirectMedia Layer 1.2, libraries",,,1,1,,,,Section=libs; Version=1.2.12-19+b1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libflac14,libflac14,libflac14,Free Lossless Audio Codec - runtime C library,,,1,1,,,,Section=libs; Version=1.5.0+ds-2,,,,,,,
libfluidsynth3,libfluidsynth3,libfluidsynth3,Real-time MIDI software synthesizer (runtime library),,,1,1,,,,Section=libs; Version=2.4.4+dfsg-1,,,,,,,
libmad0,libmad0,libmad0,MPEG audio decoder library,,,1,1,,,,Section=libs; Version=0.15.1b-11+b1,,,,,,,
libmikmod3,libmikmod3,libmikmod3,Portable sound library,,,1,1,,,,Section=libs; Version=3.3.13-1,,,,,,,
libsdl1.2debian,libsdl1.2debian,libsdl1.2debian,SDL 1.2 binary compatibility library wrapping SDL 2.0,,,1,1,,,,Section=libs; Version=1.2.68-3,,,,,,,
libvorbisfile3,libvorbisfile3,libvorbisfile3,high-level API for Vorbis General Audio Compression Codec,,,1,1,,,,Section=libs; Version=1.3.7-3,,,,,,,
timgm6mb-soundfont,timgm6mb-soundfont,timgm6mb-soundfont,TimGM6mb SoundFont from MuseScore 1.3,,,1,1,,,,Section=sound; Version=1.3-5,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libogg0,libogg0,libogg0,Ogg bitstream library,,,1,1,,,,Section=libs; Version=1.3.5-3+b2,,,,,,,
libasound2t64,libasound2t64,libasound2t64,shared library for ALSA applications,,,1,1,,,,Section=libs; Version=1.2.14-1,,,,,,,
libdbus-1-3,libdbus-1-3,libdbus-1-3,simple interprocess messaging system (library),,,1,1,,,,Section=libs; Version=1.16.2-2,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
