id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
python-scipy-doc,python-scipy-doc,python-scipy-doc,scientific library for Python - documentation,,,1,1,,,,Section=doc; Version=1.15.3-1,,,,,,,
fonts-open-sans,fonts-open-sans,fonts-open-sans,humanist sans serif typeface by Steve Matteson,,,1,1,,,,Section=fonts; Version=1.11-2,,,,,,,
libjs-jquery,libjs-jquery,libjs-jquery,JavaScript library for dynamic web applications,,,1,1,,,,Section=javascript; Version=3.6.1+dfsg+~3.5.14-1,,,,,,,
libjs-mathjax,libjs-mathjax,libjs-mathjax,JavaScript display engine for LaTeX and MathML,,,1,1,,,,Section=javascript; Version=2.7.9+dfsg-1,,,,,,,
libjs-underscore,libjs-underscore,libjs-underscore,JavaScript's functional programming helper library,,,1,1,,,,Section=javascript; Version=1.13.4~dfsg+~1.11.4-3,,,,,,,
libjs-sphinxdoc,libjs-sphinxdoc,libjs-sphinxdoc,JavaScript support for Sphinx documentation,,,1,1,,,,Section=javascript; Version=8.1.3-5,,,,,,,
javascript-common,javascript-common,javascript-common,Base support for JavaScript library packages,,,1,1,,,,Section=javascript; Version=12+nmu1,,,,,,,
fonts-mathjax,fonts-mathjax,fonts-mathjax,JavaScript display engine for LaTeX and MathML (fonts),,,1,1,,,,Section=fonts; Version=2.7.9+dfsg-1,,,,,,,
,,,,,,,,,,,,fonts-open-sans,python-scipy-doc,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libjs-jquery,python-scipy-doc,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libjs-mathjax,python-scipy-doc,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libjs-underscore,python-scipy-doc,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libjs-sphinxdoc,python-scipy-doc,Depends,#333,1,Depends,{}
,,,,,,,,,,,,javascript-common,libjs-jquery,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,fonts-mathjax,libjs-mathjax,Depends,#333,1,Depends,{}
,,,,,,,,,,,,javascript-common,libjs-underscore,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libjs-jquery,libjs-underscore,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libjs-jquery,libjs-sphinxdoc,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libjs-underscore,libjs-sphinxdoc,Depends,#333,1,Depends,{}
