id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libtheora-bin","libtheora-bin","libtheora-bin","Theora Video Compression Codec (example encoder, decoder)","","","1","1","","","","Section=utils; Version=1.2.0~alpha1+dfsg-6","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libogg0","libogg0","libogg0","Ogg bitstream library","","","1","1","","","","Section=libs; Version=1.3.5-3+b2","","","","","","","",""
"libpng16-16t64","libpng16-16t64","libpng16-16t64","PNG library - runtime (version 1.6)","","","1","1","","","","Section=libs; Version=1.6.48-1","","","","","","","",""
"libsdl1.2debian","libsdl1.2debian","libsdl1.2debian","SDL 1.2 binary compatibility library wrapping SDL 2.0","","","1","1","","","","Section=libs; Version=1.2.68-3","","","","","","","",""
"libtheoradec1","libtheoradec1","libtheoradec1","Theora Video Compression Codec (shared library - libtheoradec)","","","1","1","","","","Section=libs; Version=1.2.0~alpha1+dfsg-6","","","","","","","",""
"libtheoraenc1","libtheoraenc1","libtheoraenc1","Theora Video Compression Codec (shared library - libtheoraenc)","","","1","1","","","","Section=libs; Version=1.2.0~alpha1+dfsg-6","","","","","","","",""
"libvorbis0a","libvorbis0a","libvorbis0a","decoder library for Vorbis General Audio Compression Codec","","","1","1","","","","Section=libs; Version=1.3.7-3","","","","","","","",""
"libvorbisenc2","libvorbisenc2","libvorbisenc2","encoder library for Vorbis General Audio Compression Codec","","","1","1","","","","Section=libs; Version=1.3.7-3","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","","","",""
"libsdl2-2.0-0","libsdl2-2.0-0","libsdl2-2.0-0","Simple DirectMedia Layer","","","1","1","","","","Section=libs; Version=2.32.4+dfsg-1","","","","","","","",""
"libcairo2","libcairo2","libcairo2","Cairo 2D vector graphics library","","","1","1","","","","Section=libs; Version=1.18.4-1+b1","","","","","","","",""
"","","","","","","","","","","","","libtheora-bin","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheora-bin","libogg0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheora-bin","libpng16-16t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheora-bin","libsdl1.2debian","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheora-bin","libtheoradec1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheora-bin","libtheoraenc1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheora-bin","libvorbis0a","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheora-bin","libvorbisenc2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libogg0","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libpng16-16t64","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libpng16-16t64","zlib1g","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsdl1.2debian","libsdl2-2.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsdl1.2debian","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheoradec1","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheoradec1","libcairo2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheoraenc1","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtheoraenc1","libogg0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libvorbis0a","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libvorbis0a","libogg0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libvorbisenc2","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libvorbisenc2","libvorbis0a","Depends","#333","1","Depends","arrow","{}"
