id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"libpcl-apps1.15","libpcl-apps1.15","libpcl-apps1.15","Point Cloud Library - apps library","","","1","1","","","","Section=libs; Version=1.15.0+dfsg-2","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libpcl-common1.15","libpcl-common1.15","libpcl-common1.15","Point Cloud Library - common library","","","1","1","","","","Section=libs; Version=1.15.0+dfsg-2","","","","","",""
"libpcl-features1.15","libpcl-features1.15","libpcl-features1.15","Point Cloud Library - features library","","","1","1","","","","Section=libs; Version=1.15.0+dfsg-2","","","","","",""
"libpcl-filters1.15","libpcl-filters1.15","libpcl-filters1.15","Point Cloud Library - filters library","","","1","1","","","","Section=libs; Version=1.15.0+dfsg-2","","","","","",""
"libpcl-search1.15","libpcl-search1.15","libpcl-search1.15","Point Cloud Library - search library","","","1","1","","","","Section=libs; Version=1.15.0+dfsg-2","","","","","",""
"libpcl-segmentation1.15","libpcl-segmentation1.15","libpcl-segmentation1.15","Point Cloud Library - segmentation library","","","1","1","","","","Section=libs; Version=1.15.0+dfsg-2","","","","","",""
"libpcl-surface1.15","libpcl-surface1.15","libpcl-surface1.15","Point Cloud Library - surface library","","","1","1","","","","Section=libs; Version=1.15.0+dfsg-2","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libvtk9.3","libvtk9.3","libvtk9.3","VTK libraries","","","1","1","","","","Section=libs; Version=9.3.0+dfsg1-4+b1","","","","","",""
