id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"python3-yaml","python3-yaml","python3-yaml","YAML parser and emitter for Python3","","","1","1","","","","Section=python; Version=6.0.2-1+b2","","","","","","","",""
"python3","python3","python3","interactive high-level object-oriented language (default python3 version)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","","","",""
"python3:any","python3:any","python3:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libyaml-0-2","libyaml-0-2","libyaml-0-2","Fast YAML 1.1 parser and emitter library","","","1","1","","","","Section=libs; Version=0.2.5-2","","","","","","","",""
"python3.13","python3.13","python3.13","Interactive high-level object-oriented language (version 3.13)","","","1","1","","","","Section=python; Version=3.13.5-2","","","","","","","",""
"libpython3-stdlib","libpython3-stdlib","libpython3-stdlib","interactive high-level object-oriented language (default python3 version)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"","","","","","","","","","","","","python3-yaml","python3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-yaml","python3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-yaml","python3:any","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-yaml","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-yaml","libyaml-0-2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3","python3.13","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3","libpython3-stdlib","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libyaml-0-2","libc6","Depends","#333","1","Depends","arrow","{}"
