id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
python3-sphinx-rtd-theme,python3-sphinx-rtd-theme,python3-sphinx-rtd-theme,sphinx theme from readthedocs.org (Python 3),,,1,1,,,,Section=python; Version=3.0.2+dfsg-2,,,,,,,
python3-sphinx,python3-sphinx,python3-sphinx,documentation generator for Python projects,,,1,1,,,,Section=python; Version=8.1.3-5,,,,,,,
sphinx-rtd-theme-common,sphinx-rtd-theme-common,sphinx-rtd-theme-common,sphinx theme from readthedocs.org (common files),,,1,1,,,,Section=python; Version=3.0.2+dfsg-2,,,,,,,
python3-docutils,python3-docutils,python3-docutils,text processing system for reStructuredText (implemented in Python 3),,,1,1,,,,Section=python; Version=0.21.2+dfsg-2,,,,,,,
python3-sphinxcontrib.jquery,python3-sphinxcontrib.jquery,python3-sphinxcontrib.jquery,extension to include jQuery on newer Sphinx releases,,,1,1,,,,Section=python; Version=4.1-5,,,,,,,
python3:any,python3:any,python3:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
python3-defusedxml,python3-defusedxml,python3-defusedxml,XML bomb protection for Python stdlib modules (for Python 3),,,1,1,,,,Section=python; Version=0.7.1-3,,,,,,,
sphinx-common,sphinx-common,sphinx-common,documentation generator for Python projects - common data,,,1,1,,,,Section=python; Version=8.1.3-5,,,,,,,
python3-alabaster,python3-alabaster,python3-alabaster,Configurable sidebar-enabled Sphinx theme (Python 3),,,1,1,,,,Section=python; Version=0.7.16-0.1,,,,,,,
python3-babel,python3-babel,python3-babel,tools for internationalizing Python applications - Python 3.x,,,1,1,,,,Section=python; Version=2.17.0-1,,,,,,,
python3-imagesize,python3-imagesize,python3-imagesize,Python module for getting image size or DPI,,,1,1,,,,Section=python; Version=1.4.1-1,,,,,,,
python3-jinja2,python3-jinja2,python3-jinja2,small but fast and easy to use stand-alone template engine,,,1,1,,,,Section=python; Version=3.1.6-1,,,,,,,
python3-packaging,python3-packaging,python3-packaging,core utilities for python3 packages,,,1,1,,,,Section=python; Version=25.0-1,,,,,,,
python3-pygments,python3-pygments,python3-pygments,syntax highlighting package written in Python 3,,,1,1,,,,Section=python; Version=2.18.0+dfsg-2,,,,,,,
python3-requests,python3-requests,python3-requests,"elegant and simple HTTP library for Python3, built for human beings",,,1,1,,,,Section=python; Version=2.32.3+dfsg-5,,,,,,,
python3-snowballstemmer,python3-snowballstemmer,python3-snowballstemmer,Pure Python Snowball stemming library,,,1,1,,,,Section=python; Version=2.2.0-4,,,,,,,
python3-tomli,python3-tomli,python3-tomli,lil' TOML parser for Python,,,1,1,,,,Section=python; Version=2.2.1-2+b1,,,,,,,
make,make,make,utility for directing compilation,,,1,1,,,,Section=devel; Version=4.4.1-2,,,,,,,
python3-pil,python3-pil,python3-pil,Python Imaging Library (Python3),,,1,1,,,,Section=python; Version=11.1.0-5+b1,,,,,,,
fonts-font-awesome,fonts-font-awesome,fonts-font-awesome,iconic font designed for use with Twitter Bootstrap,,,1,1,,,,Section=fonts; Version=5.0.10+really4.7.0~dfsg-4.1,,,,,,,
fonts-lato,fonts-lato,fonts-lato,sans-serif typeface family font,,,1,1,,,,Section=fonts; Version=2.015-1,,,,,,,
docutils-common,docutils-common,docutils-common,text processing system for reStructuredText - common data,,,1,1,,,,Section=python; Version=0.21.2+dfsg-2,,,,,,,
python3-roman,python3-roman,python3-roman,module for generating/analyzing Roman numerals for Python 3,,,1,1,,,,Section=python; Version=5.0-1,,,,,,,
libpaper-utils,libpaper-utils,libpaper-utils,Paper sizes catalogue (utilities),,,1,1,,,,Section=utils; Version=2.2.5-0.3+b2,,,,,,,
libjs-jquery,libjs-jquery,libjs-jquery,JavaScript library for dynamic web applications,,,1,1,,,,Section=javascript; Version=3.6.1+dfsg+~3.5.14-1,,,,,,,
,,,,,,,,,,,,python3-sphinx,python3-sphinx-rtd-theme,Depends,#333,1,Depends,{}
,,,,,,,,,,,,sphinx-rtd-theme-common,python3-sphinx-rtd-theme,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-docutils,python3-sphinx-rtd-theme,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-sphinxcontrib.jquery,python3-sphinx-rtd-theme,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,python3-sphinx-rtd-theme,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-defusedxml,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,sphinx-common,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-alabaster,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-babel,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-docutils,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-imagesize,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-jinja2,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-packaging,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-pygments,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-requests,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-snowballstemmer,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-tomli,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,python3-sphinx,Depends,#333,1,Depends,{}
,,,,,,,,,,,,make,python3-sphinx,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,python3-pil,python3-sphinx,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,fonts-font-awesome,sphinx-rtd-theme-common,Depends,#333,1,Depends,{}
,,,,,,,,,,,,fonts-lato,sphinx-rtd-theme-common,Depends,#333,1,Depends,{}
,,,,,,,,,,,,docutils-common,python3-docutils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-roman,python3-docutils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,python3-docutils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpaper-utils,python3-docutils,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,python3-pil,python3-docutils,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,python3-pygments,python3-docutils,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libjs-jquery,python3-sphinxcontrib.jquery,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-sphinx,python3-sphinxcontrib.jquery,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,python3-sphinxcontrib.jquery,Depends,#333,1,Depends,{}
