id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"python3-pydantic","python3-pydantic","python3-pydantic","Data validation and settings management using Python type hinting","","","1","1","","","","Section=python; Version=2.10.6-2","","","","","","","",""
"python3-annotated-types","python3-annotated-types","python3-annotated-types","Reusable constraint types to use with typing.Annotated","","","1","1","","","","Section=python; Version=0.7.0-1","","","","","","","",""
"python3-pydantic-core","python3-pydantic-core","python3-pydantic-core","Rust implementation of pydantic core functionality (Python 3 module)","","","1","1","","","","Section=python; Version=2.27.2-3+b1","","","","","","","",""
"python3-typing-extensions","python3-typing-extensions","python3-typing-extensions","Backported and Experimental Type Hints for Python","","","1","1","","","","Section=python; Version=4.13.2-1","","","","","","","",""
"python3:any","python3:any","python3:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"python3-email-validator","python3-email-validator","python3-email-validator","Robust email address syntax and deliverability validation library (Python 3)","","","1","1","","","","Section=python; Version=2.2.0-1","","","","","","","",""
"python3","python3","python3","interactive high-level object-oriented language (default python3 version)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"python3-dnspython","python3-dnspython","python3-dnspython","DNS toolkit for Python 3","","","1","1","","","","Section=python; Version=2.7.0-1","","","","","","","",""
"python3-idna","python3-idna","python3-idna","Python IDNA2008 (RFC 5891) handling (Python 3)","","","1","1","","","","Section=python; Version=3.10-1","","","","","","","",""
"","","","","","","","","","","","","python3-pydantic","python3-annotated-types","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic","python3-pydantic-core","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic","python3-pydantic-core","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic","python3-typing-extensions","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic","python3:any","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic","python3-email-validator","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-annotated-types","python3-typing-extensions","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-annotated-types","python3:any","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic-core","python3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic-core","python3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic-core","python3-typing-extensions","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic-core","python3:any","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic-core","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-pydantic-core","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-typing-extensions","python3:any","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-email-validator","python3-dnspython","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-email-validator","python3-idna","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-email-validator","python3:any","Depends","#333","1","Depends","arrow","{}"
